index,Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22
531,Riyan Parag,All-Rounder,2000000,Rajasthan Royals,2019.0,Indian,18.0,IND,0,0,0,0,0,1,0,0,0
532,Riyan Parag,All-Rounder,38000000,Rajasthan Royals,2022.0,Indian,21.0,IND,0,0,0,0,0,0,0,0,1
533,Robin Uthappa,Batsman,50000000,Kolkata Knight Riders,2014.0,Indian,29.0,IND,1,0,0,0,0,0,0,0,0
534,Robin Uthappa,Batsman,64000000,Kolkata Knight Riders,2018.0,Indian,33.0,IND,0,0,0,0,1,0,0,0,0
535,Robin Uthappa,Batsman,30000000,Rajasthan Royals,2020.0,Indian,35.0,IND,0,0,0,0,0,0,1,0,0
536,Robin Uthappa,Batsman,20000000,Chennai Super Kings,2022.0,Indian,37.0,IND,0,0,0,0,0,0,0,0,1
538,Ronit More,Bowler,1000000,Chennai Super Kings,2014.0,Indian,22.0,IND,1,0,0,0,0,0,0,0,0
541,Ruturaj Gaikwad,Batsman,2000000,Chennai Super Kings,2019.0,Indian,22.0,IND,0,0,0,0,0,1,0,0,0
542,Sachin Baby,Batsman,1000000,Royal Challengers Bangalore,2016.0,Indian,28.0,IND,0,0,1,0,0,0,0,0,0
543,Sachin Baby,Batsman,2000000,Sunrisers Hyderabad,2018.0,Indian,30.0,IND,0,0,0,0,1,0,0,0,0
552,Sandeep Bavanaka,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Overseas,28.0,IND,0,0,0,0,0,0,1,0,0
554,Sandeep Sharma,Bowler,8500000,Kings XI Punjab,2014.0,Indian,21.0,IND,1,0,0,0,0,0,0,0,0
555,Sandeep Sharma,Bowler,30000000,Sunrisers Hyderabad,2018.0,Indian,25.0,IND,0,0,0,0,1,0,0,0,0
556,Sandeep Sharma,Bowler,5000000,Punjab Kings,2022.0,Indian,29.0,IND,0,0,0,0,0,0,0,0,1
557,Sandeep Warrier,Bowler,1000000,Royal Challengers Bangalore,2014.0,Indian,23.0,IND,1,0,0,0,0,0,0,0,0
558,Sanjay Yadav,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,25.0,IND,0,0,0,0,0,0,1,0,0
559,Sanjay Yadav,All-Rounder,5000000,Mumbai Indians,2022.0,Indian,27.0,IND,0,0,0,0,0,0,0,0,1
560,Sanju Samson,Wicket Keeper,42000000,Delhi Daredevils,2016.0,Indian,22.0,IND,0,0,1,0,0,0,0,0,0
561,Saurabh Dubey,Bowler,2000000,Sunrisers Hyderabad,2022.0,Indian,24.0,IND,0,0,0,0,0,0,0,0,1
562,Saurabh Kumar,Bowler,1000000,Rising Pune Supergiant,2017.0,Indian,24.0,IND,0,0,0,1,0,0,0,0,0
563,Saurabh Kumar,All-Rounder,2000000,Punjab Kings,2021.0,Indian,28.0,IND,0,0,0,0,0,0,0,1,0
564,Saurabh Tiwary,Batsman,7000000,Delhi Daredevils,2014.0,Indian,25.0,IND,1,0,0,0,0,0,0,0,0
565,Saurabh Tiwary,Batsman,3000000,Mumbai Indians,2017.0,Indian,28.0,IND,0,0,0,1,0,0,0,0,0
566,Saurabh Tiwary,Batsman,8000000,Mumbai Indians,2018.0,Indian,29.0,IND,0,0,0,0,1,0,0,0,0
567,Saurabh Tiwary,Batsman,5000000,Mumbai Indians,2020.0,Indian,31.0,IND,0,0,0,0,0,0,1,0,0
568,Sayan Ghosh,Bowler,1000000,Kolkata Knight Riders,2017.0,Indian,25.0,IND,0,0,0,1,0,0,0,0,0
572,Shadab Jakati,Bowler,2000000,Royal Challengers Bangalore,2014.0,Indian,34.0,IND,1,0,0,0,0,0,0,0,0
573,Shahbaz Nadeem,Bowler,8500000,Delhi Daredevils,2014.0,Indian,25.0,IND,1,0,0,0,0,0,0,0,0
574,Shahbaz Nadeem,Bowler,32000000,Delhi Daredevils,2018.0,Indian,29.0,IND,0,0,0,0,1,0,0,0,0
575,Shahbaz Nadeem,Bowler,5000000,Lucknow Super Giants,2022.0,Indian,33.0,IND,0,0,0,0,0,0,0,0,1
576,Shahrukh Khan,All-Rounder,52500000,Punjab Kings,2021.0,Indian,26.0,IND,0,0,0,0,0,0,0,1,0
577,Shahrukh Khan,All-Rounder,90000000,Punjab Kings,2022.0,Indian,27.0,IND,0,0,0,0,0,0,0,0,1
583,Sharad Lumba,Batsman,2000000,Mumbai Indians,2018.0,Indian,29.0,IND,0,0,0,0,1,0,0,0,0
584,Shardul Thakur,Bowler,2000000,Kings XI Punjab,2014.0,Indian,23.0,IND,1,0,0,0,0,0,0,0,0
585,Shardul Thakur,Bowler,26000000,Chennai Super Kings,2018.0,Indian,27.0,IND,0,0,0,0,1,0,0,0,0
586,Shardul Thakur,Bowler,107500000,Delhi Capitals,2022.0,Indian,31.0,IND,0,0,0,0,0,0,0,0,1
587,Shashank Singh,All-Rounder,1000000,Delhi Daredevils,2017.0,Indian,26.0,IND,0,0,0,1,0,0,0,0,0
588,Shashank Singh,All-Rounder,3000000,Rajasthan Royals,2019.0,Indian,28.0,IND,0,0,0,0,0,1,0,0,0
589,Shashank Singh,All-Rounder,2000000,Sunrisers Hyderabad,2022.0,Indian,31.0,IND,0,0,0,0,0,0,0,0,1
592,Shelley Shaurya,Bowler,1000000,Gujarat Lions,2017.0,Indian,24.0,IND,0,0,0,1,0,0,0,0,0
595,Shikhar Dhawan,Batsman,52000000,Sunrisers Hyderabad,2018.0,Indian,33.0,IND,0,0,0,0,1,0,0,0,0
596,Shikhar Dhawan,Batsman,82500000,Punjab Kings,2022.0,Indian,37.0,IND,0,0,0,0,0,0,0,0,1
599,Shivam Dube,All-Rounder,50000000,Royal Challengers Bangalore,2019.0,Indian,26.0,IND,0,0,0,0,0,1,0,0,0
600,Shivam Dube,All-Rounder,44000000,Rajasthan Royals,2021.0,Indian,28.0,IND,0,0,0,0,0,0,0,1,0
601,Shivam Dube,All-Rounder,40000000,Chennai Super Kings,2022.0,Indian,29.0,IND,0,0,0,0,0,0,0,0,1
602,Shivam Mavi,All-Rounder,30000000,Kolkata Knight Riders,2018.0,Indian,20.0,IND,0,0,0,0,1,0,0,0,0
603,Shivam Mavi,All-Rounder,72500000,Kolkata Knight Riders,2022.0,Indian,24.0,IND,0,0,0,0,0,0,0,0,1
604,Shivam Sharma,Bowler,1000000,Kings XI Punjab,2014.0,Indian,21.0,IND,1,0,0,0,0,0,0,0,0
605,Shivil Kaushik,Bowler,1000000,Gujarat Lions,2016.0,Indian,21.0,IND,0,0,1,0,0,0,0,0,0
606,Shreevats Goswami,Wicket Keeper,10000000,Sunrisers Hyderabad,2018.0,Indian,29.0,IND,0,0,0,0,1,0,0,0,0
607,Shreyas Gopal,Bowler,1000000,Mumbai Indians,2014.0,Indian,21.0,IND,1,0,0,0,0,0,0,0,0
608,Shreyas Gopal,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,25.0,IND,0,0,0,0,1,0,0,0,0
609,Shreyas Gopal,Bowler,7500000,Sunrisers Hyderabad,2022.0,Indian,29.0,IND,0,0,0,0,0,0,0,0,1
610,Shreyas Iyer,Batsman,26000000,Delhi Daredevils,2015.0,Indian,21.0,IND,0,1,0,0,0,0,0,0,0
611,Shreyas Iyer,Batsman,122500000,Kolkata Knight Riders,2022.0,Indian,28.0,IND,0,0,0,0,0,0,0,0,1
612,Shubham Ranjane,All-Rounder,2000000,Rajasthan Royals,2019.0,Indian,25.0,IND,0,0,0,0,0,1,0,0,0
613,Shubman Gill,Batsman,18000000,Kolkata Knight Riders,2018.0,Indian,19.0,IND,0,0,0,0,1,0,0,0,0
614,Siddarth Kaul,Bowler,4500000,Delhi Daredevils,2014.0,Indian,24.0,IND,1,0,0,0,0,0,0,0,0
615,Siddarth Kaul,Bowler,1000000,Sunrisers Hyderabad,2015.0,Indian,25.0,IND,0,1,0,0,0,0,0,0,0
616,Simarjeet Singh,Bowler,2000000,Chennai Super Kings,2022.0,Indian,24.0,IND,0,0,0,0,0,0,0,0,1
617,Stuart Binny,All-Rounder,20000000,Royal Challengers Bangalore,2016.0,Indian,32.0,IND,0,0,1,0,0,0,0,0,0
618,Stuart Binny,All-Rounder,5000000,Rajasthan Royals,2018.0,Indian,34.0,IND,0,0,0,0,1,0,0,0,0
619,Suryakumar Yadav,Batsman,7000000,Kolkata Knight Riders,2014.0,Indian,24.0,IND,1,0,0,0,0,0,0,0,0
620,Suyash Prabhudessai,All-Rounder,3000000,Royal Challengers Bangalore,2022.0,Indian,25.0,IND,0,0,0,0,0,0,0,0,1
621,T Natarajan,Bowler,30000000,Kings XI Punjab,2017.0,Indian,26.0,IND,0,0,0,1,0,0,0,0,0
622,Tajinder Dhillon,All-Rounder,5500000,Mumbai Indians,2018.0,Indian,26.0,IND,0,0,0,0,1,0,0,0,0
623,Tajinder Dhillon,All-Rounder,2000000,Kings XI Punjab,2020.0,Indian,28.0,IND,0,0,0,0,0,0,1,0,0
624,Tanmay Agarwal,Batsman,1000000,Sunrisers Hyderabad,2017.0,Indian,22.0,IND,0,0,0,1,0,0,0,0,0
625,Tanmay Agarwal,Batsman,2000000,Sunrisers Hyderabad,2018.0,Indian,23.0,IND,0,0,0,0,1,0,0,0,0
644,Tushar Deshpande,Bowler,2000000,Delhi Capitals,2020.0,Indian,25.0,IND,0,0,0,0,0,0,1,0,0
645,Tushar Deshpande,Bowler,2000000,Chennai Super Kings,2022.0,Indian,27.0,IND,0,0,0,0,0,0,0,0,1
648,Umang Sharma,Batsman,1000000,Gujarat Lions,2016.0,Indian,27.0,IND,0,0,1,0,0,0,0,0,0
649,Umesh Yadav,Bowler,26000000,Kolkata Knight Riders,2014.0,Indian,27.0,IND,1,0,0,0,0,0,0,0,0
650,Umesh Yadav,Bowler,42000000,Royal Challengers Bangalore,2018.0,Indian,31.0,IND,0,0,0,0,1,0,0,0,0
651,Umesh Yadav,Bowler,10000000,Delhi Capitals,2021.0,Indian,34.0,IND,0,0,0,0,0,0,0,1,0
652,Umesh Yadav,Bowler,20000000,Kolkata Knight Riders,2022.0,Indian,35.0,IND,0,0,0,0,0,0,0,0,1
653,Unmukt Chand,Batsman,6500000,Rajasthan Royals,2014.0,Indian,21.0,IND,1,0,0,0,0,0,0,0,0
654,Utkarsh Singh,All-Rounder,2000000,Punjab Kings,2021.0,Indian,23.0,IND,0,0,0,0,0,0,0,1,0
655,Vaibhav Arora,Bowler,2000000,Kolkata Knight Riders,2021.0,Indian,24.0,IND,0,0,0,0,0,0,0,1,0
656,Varun Aaron,Bowler,20000000,Royal Challengers Bangalore,2014.0,Indian,25.0,IND,1,0,0,0,0,0,0,0,0
657,Varun Aaron,Bowler,28000000,Kings XI Punjab,2017.0,Indian,28.0,IND,0,0,0,1,0,0,0,0,0
658,Varun Aaron,Bowler,24000000,Rajasthan Royals,2019.0,Indian,30.0,IND,0,0,0,0,0,1,0,0,0
659,Veer Pratap Singh,Bowler,4000000,Kolkata Knight Riders,2014.0,Indian,22.0,IND,1,0,0,0,0,0,0,0,0
660,Vijay Shankar,All-Rounder,1000000,Chennai Super Kings,2014.0,Indian,23.0,IND,1,0,0,0,0,0,0,0,0
661,Vijay Shankar,All-Rounder,3500000,Sunrisers Hyderabad,2016.0,Indian,25.0,IND,0,0,1,0,0,0,0,0,0
662,Vijay Shankar,All-Rounder,32000000,Delhi Daredevils,2018.0,Indian,27.0,IND,0,0,0,0,1,0,0,0,0
663,Vijay Shankar,All-Rounder,14000000,Gujarat Titans,2022.0,Indian,31.0,IND,0,0,0,0,0,0,0,0,1
664,Vijay Zol,Batsman,3000000,Royal Challengers Bangalore,2014.0,Indian,20.0,IND,1,0,0,0,0,0,0,0,0
665,Vishnu Vinod,Wicket Keeper,2000000,Delhi Capitals,2021.0,Indian,28.0,IND,0,0,0,0,0,0,0,1,0
666,Vishnu Vinod,Wicket Keeper,5000000,Sunrisers Hyderabad,2022.0,Indian,29.0,IND,0,0,0,0,0,0,0,0,1
668,Washington Sundar,All-Rounder,87500000,Sunrisers Hyderabad,2022.0,Indian,23.0,IND,0,0,0,0,0,0,0,0,1
670,Wriddhiman Saha,Wicket Keeper,22000000,Kings XI Punjab,2014.0,Indian,30.0,IND,1,0,0,0,0,0,0,0,0
671,Wriddhiman Saha,Wicket Keeper,50000000,Sunrisers Hyderabad,2018.0,Indian,34.0,IND,0,0,0,0,1,0,0,0,0
672,Wriddhiman Saha,Wicket Keeper,12000000,Sunrisers Hyderabad,2019.0,Indian,35.0,IND,0,0,0,0,0,1,0,0,0
673,Wriddhiman Saha,Wicket Keeper,19000000,Gujarat Titans,2022.0,Indian,38.0,IND,0,0,0,0,0,0,0,0,1
674,Writtick Chatterjee,All-Rounder,2000000,Punjab Kings,2022.0,Indian,30.0,IND,0,0,0,0,0,0,0,0,1
675,Yogesh Takawale,Wicket Keeper,1000000,Royal Challengers Bangalore,2014.0,Indian,30.0,IND,1,0,0,0,0,0,0,0,0
676,Yudhvir Charak,All-Rounder,2000000,Mumbai Indians,2021.0,Indian,24.0,IND,0,0,0,0,0,0,0,1,0
677,Yusuf Pathan,All-Rounder,32500000,Kolkata Knight Riders,2014.0,Indian,32.0,IND,1,0,0,0,0,0,0,0,0
678,Yusuf Pathan,All-Rounder,19000000,Sunrisers Hyderabad,2018.0,Indian,36.0,IND,0,0,0,0,1,0,0,0,0
