Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22,fcode
Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,19.0,IND,0,0,0,0,0,0,1,0,0,0
Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022.0,Indian,27.0,IND,0,0,0,0,0,0,0,0,1,1
Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015.0,Indian,26.0,IND,0,1,0,0,0,0,0,0,0,2
Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016.0,Indian,27.0,IND,0,0,1,0,0,0,0,0,0,2
Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018.0,Indian,24.0,IND,0,0,0,0,1,0,0,0,0,3
Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022.0,Indian,28.0,IND,0,0,0,0,0,0,0,0,1,3
Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015.0,Indian,19.0,IND,0,1,0,0,0,0,0,0,0,4
Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014.0,Indian,27.0,IND,1,0,0,0,0,0,0,0,0,5
Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016.0,Indian,29.0,IND,0,0,1,0,0,0,0,0,0,5
Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017.0,Indian,30.0,IND,0,0,0,1,0,0,0,0,0,5
Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018.0,Indian,31.0,IND,0,0,0,0,1,0,0,0,0,5
Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019.0,Indian,24.0,IND,0,0,0,0,0,1,0,0,0,6
Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018.0,Indian,30.0,IND,0,0,0,0,1,0,0,0,0,7
Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022.0,Indian,34.0,IND,0,0,0,0,0,0,0,0,1,7
Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022.0,Indian,26.0,IND,0,0,0,0,0,0,0,0,1,8
Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016.0,Indian,24.0,IND,0,0,1,0,0,0,0,0,0,9
Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015.0,Indian,30.0,IND,0,1,0,0,0,0,0,0,0,10
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016.0,Indian,23.0,IND,0,0,1,0,0,0,0,0,0,11
Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017.0,Indian,24.0,IND,0,0,0,1,0,0,0,0,0,11
Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018.0,Indian,25.0,IND,0,0,0,0,1,0,0,0,0,11
Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019.0,Indian,26.0,IND,0,0,0,0,0,1,0,0,0,11
