index,Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22
391,Matt Henry,Bowler,5000000,Kings XI Punjab,2017.0,Overseas,26.0,4,0,0,0,1,0,0,0,0,0
392,Matthew Wade,Wicket Keeper,24000000,Gujarat Titans,2022.0,Overseas,35.0,5,0,0,0,0,0,0,0,0,1
400,Mitchell Johnson,All-Rounder,65000000,Kings XI Punjab,2014.0,Overseas,33.0,5,1,0,0,0,0,0,0,0,0
401,Mitchell Johnson,Bowler,20000000,Mumbai Indians,2017.0,Overseas,36.0,5,0,0,0,1,0,0,0,0,0
402,Mitchell Johnson,Bowler,20000000,Kolkata Knight Riders,2018.0,Overseas,37.0,5,0,0,0,0,1,0,0,0,0
403,Mitchell Marsh,All-Rounder,48000000,Rising Pune Supergiant,2016.0,Overseas,25.0,5,0,0,1,0,0,0,0,0,0
404,Mitchell Marsh,All-Rounder,20000000,Sunrisers Hyderabad,2020.0,Overseas,29.0,5,0,0,0,0,0,0,1,0,0
405,Mitchell Marsh,All-Rounder,65000000,Delhi Capitals,2022.0,Overseas,31.0,5,0,0,0,0,0,0,0,0,1
406,Mitchell McClenaghan,Bowler,3000000,Mumbai Indians,2015.0,Overseas,29.0,4,0,1,0,0,0,0,0,0,0
407,Mitchell Santner,All-Rounder,5000000,Chennai Super Kings,2018.0,Overseas,26.0,4,0,0,0,0,1,0,0,0,0
408,Mitchell Santner,All-Rounder,19000000,Chennai Super Kings,2022.0,Overseas,30.0,4,0,0,0,0,0,0,0,0,1
409,Mitchell Starc,Bowler,50000000,Royal Challengers Bangalore,2014.0,Overseas,24.0,5,1,0,0,0,0,0,0,0,0
410,Moeen Ali,All-Rounder,17000000,Royal Challengers Bangalore,2018.0,Overseas,31.0,4.5,0,0,0,0,1,0,0,0,0
411,Moeen Ali,All-Rounder,70000000,Chennai Super Kings,2021.0,Overseas,34.0,4.5,0,0,0,0,0,0,0,1,0
412,Mohammad Nabi,All-Rounder,3000000,Sunrisers Hyderabad,2017.0,Overseas,32.0,2,0,0,0,1,0,0,0,0,0
413,Mohammad Nabi,All-Rounder,10000000,Sunrisers Hyderabad,2018.0,Overseas,33.0,2,0,0,0,0,1,0,0,0,0
423,Moises Henriques,All-Rounder,22500000,Royal Challengers Bangalore,2013.0,Overseas,26.0,5,0,0,0,0,0,0,0,0,0
424,Moises Henriques,All-Rounder,10000000,Sunrisers Hyderabad,2014.0,Overseas,27.0,5,1,0,0,0,0,0,0,0,0
425,Moises Henriques,All-Rounder,10000000,Kings XI Punjab,2019.0,Overseas,32.0,5,0,0,0,0,0,1,0,0,0
431,Mustafizur Rahman,Bowler,14000000,Sunrisers Hyderabad,2016.0,Overseas,21.0,2,0,0,1,0,0,0,0,0,0
432,Mustafizur Rahman,Bowler,22000000,Mumbai Indians,2018.0,Overseas,23.0,2,0,0,0,0,1,0,0,0,0
433,Mustafizur Rahman,Bowler,10000000,Rajasthan Royals,2021.0,Overseas,26.0,2,0,0,0,0,0,0,0,1,0
436,Nathan Coulter-Nile,Bowler,33750000,Mumbai Indians,2013.0,Overseas,26.0,5,0,0,0,0,0,0,0,0,0
437,Nathan Coulter-Nile,Bowler,42500000,Delhi Daredevils,2014.0,Overseas,27.0,5,1,0,0,0,0,0,0,0,0
438,Nathan Coulter-Nile,Bowler,35000000,Kolkata Knight Riders,2017.0,Overseas,30.0,5,0,0,0,1,0,0,0,0,0
439,Nathan Coulter-Nile,Bowler,22000000,Royal Challengers Bangalore,2018.0,Overseas,31.0,5,0,0,0,0,1,0,0,0,0
440,Nathan Coulter-Nile,Bowler,80000000,Mumbai Indians,2020.0,Overseas,33.0,5,0,0,0,0,0,0,1,0,0
441,Nathan Coulter-Nile,Bowler,50000000,Mumbai Indians,2021.0,Overseas,34.0,5,0,0,0,0,0,0,0,1,0
442,Nathan Coulter-Nile,Bowler,20000000,Rajasthan Royals,2022.0,Overseas,35.0,5,0,0,0,0,0,0,0,0,1
452,Noor Ahmad,Bowler,3000000,Gujarat Titans,2022.0,Overseas,17.0,2,0,0,0,0,0,0,0,0,1
453,Obed Mccoy,Bowler,7500000,Rajasthan Royals,2022.0,Overseas,25.0,4,0,0,0,0,0,0,0,0,1
454,Odean Smith,All-Rounder,60000000,Punjab Kings,2022.0,Overseas,26.0,4,0,0,0,0,0,0,0,0,1
455,Oshane Thomas,Bowler,11000000,Rajasthan Royals,2019.0,Overseas,22.0,4,0,0,0,0,0,1,0,0,0
456,Oshane Thomas,Bowler,5000000,Rajasthan Royals,2020.0,Overseas,23.0,4,0,0,0,0,0,0,1,0,0
462,Pat Cummins,Bowler,54000000,Mumbai Indians,2018.0,Overseas,25.0,5,0,0,0,0,1,0,0,0,0
463,Pat Cummins,All-Rounder,155000000,Kolkata Knight Riders,2020.0,Overseas,27.0,5,0,0,0,0,0,0,1,0,0
464,Pat Cummins,All-Rounder,72500000,Kolkata Knight Riders,2022.0,Overseas,29.0,5,0,0,0,0,0,0,0,0,1
465,Pat Cummins,Bowler,10000000,Kolkata Knight Riders,2014.0,Overseas,21.0,5,1,0,0,0,0,0,0,0,0
466,Pat Cummins,Bowler,45000000,Delhi Daredevils,2017.0,Overseas,24.0,5,0,0,0,1,0,0,0,0,0
514,Rassie Van Der Dussen,Batsman,10000000,Rajasthan Royals,2022.0,Overseas,33.0,3.5,0,0,0,0,0,0,0,0,1
516,Ravi Bopara,All-Rounder,10000000,Sunrisers Hyderabad,2015.0,Indian,30.0,4.5,0,1,0,0,0,0,0,0,0
517,Ravi Rampaul,Bowler,21750000,Royal Challengers Bangalore,2013.0,Overseas,29.0,4,0,0,0,0,0,0,0,0,0
518,Ravi Rampaul,Bowler,9000000,Royal Challengers Bangalore,2014.0,Overseas,30.0,4,1,0,0,0,0,0,0,0,0
520,Riley Meredith,Bowler,80000000,Punjab Kings,2021.0,Overseas,25.0,5,0,0,0,0,0,0,0,1,0
521,Riley Meredith,Bowler,10000000,Mumbai Indians,2022.0,Overseas,26.0,5,0,0,0,0,0,0,0,0,1
537,Romario Shepherd,All-Rounder,77500000,Sunrisers Hyderabad,2022.0,Overseas,28.0,4,0,0,0,0,0,0,0,0,1
539,Ross Taylor,Batsman,20000000,Delhi Daredevils,2014.0,Overseas,30.0,4,1,0,0,0,0,0,0,0,0
540,Rovman Powell,All-Rounder,3000000,Kolkata Knight Riders,2017.0,Overseas,24.0,4,0,0,0,1,0,0,0,0,0
544,Sam Billings,Wicket Keeper,3000000,Delhi Daredevils,2016.0,Overseas,25.0,4.5,0,0,1,0,0,0,0,0,0
545,Sam Billings,Wicket Keeper,10000000,Chennai Super Kings,2018.0,Overseas,27.0,4.5,0,0,0,0,1,0,0,0,0
546,Sam Billings,Wicket Keeper,20000000,Delhi Capitals,2021.0,Overseas,30.0,4.5,0,0,0,0,0,0,0,1,0
547,Sam Billings,Wicket Keeper,20000000,Kolkata Knight Riders,2022.0,Overseas,31.0,4.5,0,0,0,0,0,0,0,0,1
548,Sam Curran,All-Rounder,72000000,Kings XI Punjab,2019.0,Overseas,21.0,4.5,0,0,0,0,0,1,0,0,0
549,Sam Curran,All-Rounder,55000000,Chennai Super Kings,2020.0,Overseas,22.0,4.5,0,0,0,0,0,0,1,0,0
550,Samuel Badree,Bowler,3000000,Chennai Super Kings,2014.0,Overseas,33.0,4,1,0,0,0,0,0,0,0,0
551,Samuel Badree,Bowler,5000000,Royal Challengers Bangalore,2016.0,Overseas,35.0,4,0,0,1,0,0,0,0,0,0
553,Sandeep Lamichhane,Bowler,2000000,Delhi Daredevils,2018.0,Overseas,18.0,2,0,0,0,0,1,0,0,0,0
569,Scott Boland,Bowler,5000000,Rising Pune Supergiant,2016.0,Overseas,27.0,5,0,0,1,0,0,0,0,0,0
570,Sean Abbott,Bowler,10000000,Royal Challengers Bangalore,2015.0,Overseas,23.0,5,0,1,0,0,0,0,0,0,0
571,Sean Abbott,Bowler,24000000,Sunrisers Hyderabad,2022.0,Overseas,30.0,5,0,0,0,0,0,0,0,0,1
578,Shakib Al Hasan,All-Rounder,28000000,Kolkata Knight Riders,2014.0,Overseas,27.0,2,1,0,0,0,0,0,0,0,0
579,Shakib Al Hasan,All-Rounder,20000000,Sunrisers Hyderabad,2018.0,Overseas,31.0,2,0,0,0,0,1,0,0,0,0
580,Shakib Al Hasan,All-Rounder,32000000,Kolkata Knight Riders,2021.0,Overseas,34.0,2,0,0,0,0,0,0,0,1,0
581,Shane Watson,All-Rounder,95000000,Royal Challengers Bangalore,2016.0,Overseas,35.0,5,0,0,1,0,0,0,0,0,0
582,Shane Watson,All-Rounder,40000000,Chennai Super Kings,2018.0,Overseas,37.0,5,0,0,0,0,1,0,0,0,0
590,Shaun Marsh,Batsman,22000000,Kings XI Punjab,2014.0,Overseas,31.0,5,1,0,0,0,0,0,0,0,0
591,Sheldon Cottrell,Bowler,85000000,Kings XI Punjab,2020.0,Overseas,31.0,4,0,0,0,0,0,0,1,0,0
593,Sherfane Rutherford,All-Rounder,20000000,Delhi Capitals,2019.0,Overseas,21.0,4,0,0,0,0,0,1,0,0,0
