Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22,fcode
Colin Munro,All-Rounder,3000000,Kolkata Knight Riders,2016.0,Overseas,29.0,4.0,0,0,1,0,0,0,0,0,0,38
Colin Munro,All-Rounder,19000000,Delhi Daredevils,2018.0,Overseas,31.0,4.0,0,0,0,0,1,0,0,0,0,38
Corey Anderson,All-Rounder,45000000,Mumbai Indians,2014.0,Overseas,24.0,4.0,1,0,0,0,0,0,0,0,0,39
Corey Anderson,All-Rounder,10000000,Delhi Daredevils,2017.0,Overseas,27.0,4.0,0,0,0,1,0,0,0,0,0,39
Dale Steyn,Bowler,23000000,Gujarat Lions,2016.0,Overseas,33.0,3.5,0,0,1,0,0,0,0,0,0,40
Dale Steyn,Bowler,20000000,Royal Challengers Bangalore,2020.0,Overseas,37.0,3.5,0,0,0,0,0,0,1,0,0,40
Daniel Christian,All-Rounder,7500000,Royal Challengers Bangalore,2013.0,Overseas,30.0,5.0,0,0,0,0,0,0,0,0,0,41
Daniel Christian,All-Rounder,10000000,Rising Pune Supergiant,2017.0,Overseas,34.0,5.0,0,0,0,1,0,0,0,0,0,41
Daniel Christian,All-Rounder,15000000,Delhi Daredevils,2018.0,Overseas,35.0,5.0,0,0,0,0,1,0,0,0,0,41
Daniel Sams,All-Rounder,26000000,Mumbai Indians,2022.0,Overseas,30.0,5.0,0,0,0,0,0,0,0,0,1,42
Darren Bravo,Batsman,5000000,Kolkata Knight Riders,2017.0,Overseas,28.0,4.0,0,0,0,1,0,0,0,0,0,43
Darren Sammy,All-Rounder,31875000,Sunrisers Hyderabad,2013.0,Overseas,30.0,4.0,0,0,0,0,0,0,0,0,0,44
Darren Sammy,All-Rounder,35000000,Sunrisers Hyderabad,2014.0,Overseas,31.0,4.0,1,0,0,0,0,0,0,0,0,44
Darren Sammy,All-Rounder,28000000,Royal Challengers Bangalore,2015.0,Overseas,32.0,4.0,0,1,0,0,0,0,0,0,0,44
Darren Sammy,All-Rounder,3000000,Kings XI Punjab,2017.0,Overseas,34.0,4.0,0,0,0,1,0,0,0,0,0,44
Daryl Mitchell,All-Rounder,7500000,Rajasthan Royals,2022.0,Overseas,39.0,4.5,0,0,0,0,0,0,0,0,1,45
David Miller,Batsman,30000000,Kings XI Punjab,2018.0,Overseas,29.0,3.5,0,0,0,0,1,0,0,0,0,46
David Miller,Batsman,7500000,Rajasthan Royals,2020.0,Overseas,31.0,3.5,0,0,0,0,0,0,1,0,0,46
David Miller,Batsman,30000000,Gujarat Titans,2022.0,Overseas,33.0,3.5,0,0,0,0,0,0,0,0,1,46
David Warner,Batsman,55000000,Sunrisers Hyderabad,2014.0,Overseas,28.0,5.0,1,0,0,0,0,0,0,0,0,47
David Warner,Batsman,62500000,Delhi Capitals,2022.0,Overseas,36.0,5.0,0,0,0,0,0,0,0,0,1,47
David Wiese,All-Rounder,28000000,Royal Challengers Bangalore,2015.0,Overseas,30.0,3.5,0,1,0,0,0,0,0,0,0,48
David Willey,All-Rounder,20000000,Royal Challengers Bangalore,2022.0,Overseas,32.0,4.5,0,0,0,0,0,0,0,0,1,49
Dawid Malan,All-Rounder,15000000,Punjab Kings,2021.0,Overseas,34.0,4.5,0,0,0,0,0,0,0,1,0,50
Devon Conway,Batsman,10000000,Chennai Super Kings,2022.0,Overseas,31.0,4.0,0,0,0,0,0,0,0,0,1,51
Dominic Drakes,All-Rounder,11000000,Gujarat Titans,2022.0,Overseas,24.0,4.0,0,0,0,0,0,0,0,0,1,52
Dushmanta Chameera,Bowler,20000000,Lucknow Super Giants,2022.0,Overseas,30.0,2.0,0,0,0,0,0,0,0,0,1,53
Dwaine Pretorius,All-Rounder,5000000,Chennai Super Kings,2022.0,Overseas,33.0,3.5,0,0,0,0,0,0,0,0,1,54
Dwayne Bravo,All-Rounder,64000000,Chennai Super Kings,2018.0,Overseas,35.0,4.0,0,0,0,0,1,0,0,0,0,55
Dwayne Bravo,All-Rounder,44000000,Chennai Super Kings,2022.0,Overseas,39.0,4.0,0,0,0,0,0,0,0,0,1,55
Dwayne Smith,Batsman,45000000,Chennai Super Kings,2014.0,Overseas,31.0,4.0,1,0,0,0,0,0,0,0,0,56
Dwayne Smith,All-Rounder,23000000,Gujarat Lions,2016.0,Overseas,33.0,4.0,0,0,1,0,0,0,0,0,0,56
Eoin Morgan,Batsman,15000000,Sunrisers Hyderabad,2015.0,Overseas,29.0,4.5,0,1,0,0,0,0,0,0,0,57
Eoin Morgan,Batsman,20000000,Kings XI Punjab,2017.0,Overseas,31.0,4.5,0,0,0,1,0,0,0,0,0,57
Eoin Morgan,Batsman,52500000,Kolkata Knight Riders,2020.0,Overseas,34.0,4.5,0,0,0,0,0,0,1,0,0,57
Evin Lewis,Batsman,38000000,Mumbai Indians,2018.0,Overseas,27.0,4.0,0,0,0,0,1,0,0,0,0,58
Evin Lewis,Batsman,20000000,Lucknow Super Giants,2022.0,Overseas,31.0,4.0,0,0,0,0,0,0,0,0,1,58
Fabian Allen,All-Rounder,5000000,Sunrisers Hyderabad,2020.0,Overseas,25.0,4.0,0,0,0,0,0,0,1,0,0,59
Fabian Allen,All-Rounder,7500000,Punjab Kings,2021.0,Overseas,26.0,4.0,0,0,0,0,0,0,0,1,0,59
Fabian Allen,All-Rounder,7500000,Mumbai Indians,2022.0,Overseas,27.0,4.0,0,0,0,0,0,0,0,0,1,59
Farhaan Behardien,All-Rounder,3000000,Kings XI Punjab,2016.0,Overseas,33.0,3.5,0,0,1,0,0,0,0,0,0,60
Fazalhaq Farooqi,Bowler,5000000,Sunrisers Hyderabad,2022.0,Overseas,22.0,2.0,0,0,0,0,0,0,0,0,1,61
Fidel Edwards,Bowler,15750000,Rajasthan Royals,2013.0,Overseas,31.0,4.0,0,0,0,0,0,0,0,0,0,62
Finn Allen,Batsman,8000000,Royal Challengers Bangalore,2022.0,Overseas,23.0,4.0,0,0,0,0,0,0,0,0,1,63
George Bailey,Batsman,32500000,Kings XI Punjab,2014.0,Overseas,32.0,5.0,1,0,0,0,0,0,0,0,0,64
Glenn Maxwell,All-Rounder,75000000,Mumbai Indians,2013.0,Overseas,25.0,5.0,0,0,0,0,0,0,0,0,0,65
Glenn Maxwell,All-Rounder,60000000,Kings XI Punjab,2014.0,Overseas,26.0,5.0,1,0,0,0,0,0,0,0,0,65
Glenn Maxwell,All-Rounder,90000000,Delhi Daredevils,2018.0,Overseas,30.0,5.0,0,0,0,0,1,0,0,0,0,65
Glenn Maxwell,All-Rounder,107500000,Kings XI Punjab,2020.0,Overseas,32.0,5.0,0,0,0,0,0,0,1,0,0,65
Glenn Maxwell,All-Rounder,142500000,Royal Challengers Bangalore,2021.0,Overseas,33.0,5.0,0,0,0,0,0,0,0,1,0,65
Glenn Phillips,Wicket Keeper,15000000,Sunrisers Hyderabad,2022.0,Overseas,26.0,4.0,0,0,0,0,0,0,0,0,1,66
Gurinder Sandhu,Bowler,17000000,Delhi Daredevils,2015.0,Indian,22.0,5.0,0,1,0,0,0,0,0,0,0,67
Hardus Viljoen,Bowler,7500000,Kings XI Punjab,2019.0,Overseas,30.0,3.5,0,0,0,0,0,1,0,0,0,68
Harry Gurney,Bowler,7500000,Kolkata Knight Riders,2019.0,Overseas,33.0,4.5,0,0,0,0,0,1,0,0,0,69
Heinrich Klaasen,Wicket Keeper,5000000,Royal Challengers Bangalore,2019.0,Overseas,28.0,3.5,0,0,0,0,0,1,0,0,0,70
Imran Tahir,Bowler,10000000,Chennai Super Kings,2018.0,Overseas,39.0,3.5,0,0,0,0,1,0,0,0,0,71
James Faulkner,All-Rounder,30000000,Rajasthan Royals,2013.0,Overseas,23.0,5.0,0,0,0,0,0,0,0,0,0,72
James Neesham,All-Rounder,10000000,Delhi Daredevils,2014.0,Overseas,24.0,4.0,1,0,0,0,0,0,0,0,0,73
James Neesham,All-Rounder,5000000,Kolkata Knight Riders,2015.0,Overseas,25.0,4.0,0,1,0,0,0,0,0,0,0,73
James Neesham,All-Rounder,5000000,Kings XI Punjab,2020.0,Overseas,30.0,4.0,0,0,0,0,0,0,1,0,0,73
James Neesham,All-Rounder,5000000,Mumbai Indians,2021.0,Overseas,31.0,4.0,0,0,0,0,0,0,0,1,0,73
James Neesham,All-Rounder,15000000,Rajasthan Royals,2022.0,Overseas,32.0,4.0,0,0,0,0,0,0,0,0,1,73
Jason Behrendorff,Bowler,15000000,Mumbai Indians,2018.0,Overseas,28.0,5.0,0,0,0,0,1,0,0,0,0,74
Jason Behrendorff,Bowler,7500000,Royal Challengers Bangalore,2022.0,Overseas,32.0,5.0,0,0,0,0,0,0,0,0,1,74
Jason Holder,Bowler,1500000,Chennai Super Kings,2013.0,Overseas,22.0,4.0,0,0,0,0,0,0,0,0,0,75
Jason Holder,Bowler,7500000,Sunrisers Hyderabad,2014.0,Overseas,23.0,4.0,1,0,0,0,0,0,0,0,0,75
